partNumber,nps,pressureClass,material,thicknessLabel,thicknessIn,pricePerLb,actualWeightLbs,adjustedWeightLbs,wholesalePrice,listPrice
PBSA516-70-CX900T1-1/8S16,"16""",900,SA-516-70,"1-1/8""",1.125,2.18,152.89,214.05,512,564
PB304L-CX900T1-1/8S16,"16""",900,304L,"1-1/8""",1.125,6.01,159.72,223.61,1389,1528
PB316L-CX900T1-1/8S16,"16""",900,316L,"1-1/8""",1.125,7.48,161.53,226.14,1736,1910
PBAL6061-CX900T1-1/8S16,"16""",900,AL-6061,"1-1/8""",1.125,5.1,53.87,75.42,430,474
PB304-CX900T1-1/4S16,"16""",900,304,"1-1/4""",1.25,5.55,177.46,248.44,1424,1567
PBSA36-CX900T1-1/4S16,"16""",900,SA-36,"1-1/4""",1.25,1.87,169.87,237.82,490,539
PBSA516-70-CX900T1-1/4S16,"16""",900,SA-516-70,"1-1/4""",1.25,2.18,169.87,237.82,563,620
PB304L-CX900T1-1/4S16,"16""",900,304L,"1-1/4""",1.25,6.01,177.46,248.44,1538,1692
PB316L-CX900T1-1/4S16,"16""",900,316L,"1-1/4""",1.25,7.48,179.48,251.27,1924,2117
PBAL6061-CX900T1-1/4S16,"16""",900,AL-6061,"1-1/4""",1.25,5.1,59.85,83.79,472,520
PB304-CX900T1-3/8S16,"16""",900,304,"1-3/8""",1.375,5.55,195.21,273.29,1562,1719
PBSA36-CX900T1-3/8S16,"16""",900,SA-36,"1-3/8""",1.375,1.87,186.86,261.6,534,588
PBSA516-70-CX900T1-3/8S16,"16""",900,SA-516-70,"1-3/8""",1.375,2.18,186.86,261.6,615,677
PB304L-CX900T1-3/8S16,"16""",900,304L,"1-3/8""",1.375,6.01,195.21,273.29,1687,1856
PB316L-CX900T1-3/8S16,"16""",900,316L,"1-3/8""",1.375,7.48,197.43,276.4,2112,2324
PBAL6061-CX900T1-3/8S16,"16""",900,AL-6061,"1-3/8""",1.375,5.1,65.84,92.18,515,567
PB304-CX900T1-1/2S16,"16""",900,304,"1-1/2""",1.5,5.55,212.96,298.14,1700,1871
PBSA36-CX900T1-1/2S16,"16""",900,SA-36,"1-1/2""",1.5,1.87,203.85,285.39,579,637
PBSA516-70-CX900T1-1/2S16,"16""",900,SA-516-70,"1-1/2""",1.5,2.18,203.85,285.39,667,734
PB304L-CX900T1-1/2S16,"16""",900,304L,"1-1/2""",1.5,6.01,212.96,298.14,1837,2021
PB316L-CX900T1-1/2S16,"16""",900,316L,"1-1/2""",1.5,7.48,215.38,301.53,2300,2530
PBAL6061-CX900T1-1/2S16,"16""",900,AL-6061,"1-1/2""",1.5,5.1,71.83,100.56,558,614
