partNumber,nps,pressureClass,material,thicknessLabel,thicknessIn,pricePerLb,actualWeightLbs,adjustedWeightLbs,wholesalePrice,listPrice
PBSA516-70-CX150T1/2S3/4,"3/4""",150,SA-516-70,"1/2""",0.5,2.15,1,1.4,38,42
PB304L-CX150T1/2S3/4,"3/4""",150,304L,"1/2""",0.5,5.95,1.04,1.46,44,49
PB316L-CX150T1/2S3/4,"3/4""",150,316L,"1/2""",0.5,7.4,1.06,1.48,46,51
PBAL6061-CX150T1/2S3/4,"3/4""",150,AL-6061,"1/2""",0.5,5,0.35,0.49,37,41
PB304-CX150T5/8S3/4,"3/4""",150,304,"5/8""",0.625,5.5,1.3,1.82,45,50
PBSA36-CX150T5/8S3/4,"3/4""",150,SA-36,"5/8""",0.625,1.85,1.25,1.75,38,42
PBSA516-70-CX150T5/8S3/4,"3/4""",150,SA-516-70,"5/8""",0.625,2.15,1.25,1.75,39,43
PB304L-CX150T5/8S3/4,"3/4""",150,304L,"5/8""",0.625,5.95,1.3,1.82,46,51
PB316L-CX150T5/8S3/4,"3/4""",150,316L,"5/8""",0.625,7.4,1.32,1.85,49,54
PBAL6061-CX150T5/8S3/4,"3/4""",150,AL-6061,"5/8""",0.625,5,0.44,0.62,38,42
PB304-CX150T3/4S3/4,"3/4""",150,304,"3/4""",0.75,5.5,1.57,2.2,47,52
PBSA36-CX150T3/4S3/4,"3/4""",150,SA-36,"3/4""",0.75,1.85,1.5,2.1,39,43
PBSA516-70-CX150T3/4S3/4,"3/4""",150,SA-516-70,"3/4""",0.75,2.15,1.5,2.1,39,43
PB304L-CX150T3/4S3/4,"3/4""",150,304L,"3/4""",0.75,5.95,1.57,2.2,48,53
PB316L-CX150T3/4S3/4,"3/4""",150,316L,"3/4""",0.75,7.4,1.58,2.21,51,57
PBAL6061-CX150T3/4S3/4,"3/4""",150,AL-6061,"3/4""",0.75,5,0.53,0.74,39,43
PB304-CX150T7/8S3/4,"3/4""",150,304,"7/8""",0.875,5.5,1.83,2.56,49,54
PBSA36-CX150T7/8S3/4,"3/4""",150,SA-36,"7/8""",0.875,1.85,1.75,2.45,39,43
PBSA516-70-CX150T7/8S3/4,"3/4""",150,SA-516-70,"7/8""",0.875,2.15,1.75,2.45,40,44
PB304L-CX150T7/8S3/4,"3/4""",150,304L,"7/8""",0.875,5.95,1.83,2.56,50,56
PB316L-CX150T7/8S3/4,"3/4""",150,316L,"7/8""",0.875,7.4,1.85,2.59,54,60
PBAL6061-CX150T7/8S3/4,"3/4""",150,AL-6061,"7/8""",0.875,5,0.62,0.87,39,43
PB304-CX150T1S3/4,"3/4""",150,304,"1""",1,5.5,2.09,2.93,51,57
PBSA36-CX150T1S3/4,"3/4""",150,SA-36,"1""",1,1.85,2,2.8,40,44
PBSA516-70-CX150T1S3/4,"3/4""",150,SA-516-70,"1""",1,2.15,2,2.8,41,46
PB304L-CX150T1S3/4,"3/4""",150,304L,"1""",1,5.95,2.09,2.93,52,58
PB316L-CX150T1S3/4,"3/4""",150,316L,"1""",1,7.4,2.11,2.95,57,63
PBAL6061-CX150T1S3/4,"3/4""",150,AL-6061,"1""",1,5,0.7,0.98,40,44
PB304-CX150T1-1/8S3/4,"3/4""",150,304,"1-1/8""",1.125,5.5,2.35,3.29,53,59
PBSA36-CX150T1-1/8S3/4,"3/4""",150,SA-36,"1-1/8""",1.125,1.85,2.25,3.15,41,46
PBSA516-70-CX150T1-1/8S3/4,"3/4""",150,SA-516-70,"1-1/8""",1.125,2.15,2.25,3.15,42,47
PB304L-CX150T1-1/8S3/4,"3/4""",150,304L,"1-1/8""",1.125,5.95,2.35,3.29,54,60
PB316L-CX150T1-1/8S3/4,"3/4""",150,316L,"1-1/8""",1.125,7.4,2.38,3.33,59,65
PBAL6061-CX150T1-1/8S3/4,"3/4""",150,AL-6061,"1-1/8""",1.125,5,0.79,1.11,40,44
PB304-CX150T1-1/4S3/4,"3/4""",150,304,"1-1/4""",1.25,5.5,2.61,3.65,55,61
PBSA36-CX150T1-1/4S3/4,"3/4""",150,SA-36,"1-1/4""",1.25,1.85,2.5,3.5,41,46
PBSA516-70-CX150T1-1/4S3/4,"3/4""",150,SA-516-70,"1-1/4""",1.25,2.15,2.5,3.5,42,47
PB304L-CX150T1-1/4S3/4,"3/4""",150,304L,"1-1/4""",1.25,5.95,2.61,3.65,57,63
PB316L-CX150T1-1/4S3/4,"3/4""",150,316L,"1-1/4""",1.25,7.4,2.64,3.7,62,69
PBAL6061-CX150T1-1/4S3/4,"3/4""",150,AL-6061,"1-1/4""",1.25,5,0.88,1.23,41,46
PB304-CX150T1-3/8S3/4,"3/4""",150,304,"1-3/8""",1.375,5.5,2.87,4.02,57,63
PBSA36-CX150T1-3/8S3/4,"3/4""",150,SA-36,"1-3/8""",1.375,1.85,2.75,3.85,42,47
PBSA516-70-CX150T1-3/8S3/4,"3/4""",150,SA-516-70,"1-3/8""",1.375,2.15,2.75,3.85,43,48
PB304L-CX150T1-3/8S3/4,"3/4""",150,304L,"1-3/8""",1.375,5.95,2.87,4.02,59,65
PB316L-CX150T1-3/8S3/4,"3/4""",150,316L,"1-3/8""",1.375,7.4,2.9,4.06,65,72
PBAL6061-CX150T1-3/8S3/4,"3/4""",150,AL-6061,"1-3/8""",1.375,5,0.97,1.36,42,47
PB304-CX150T1-1/2S3/4,"3/4""",150,304,"1-1/2""",1.5,5.5,3.13,4.38,59,65
PBSA36-CX150T1-1/2S3/4,"3/4""",150,SA-36,"1-1/2""",1.5,1.85,3,4.2,43,48
PBSA516-70-CX150T1-1/2S3/4,"3/4""",150,SA-516-70,"1-1/2""",1.5,2.15,3,4.2,44,49
PB304L-CX150T1-1/2S3/4,"3/4""",150,304L,"1-1/2""",1.5,5.95,3.13,4.38,61,68
PB316L-CX150T1-1/2S3/4,"3/4""",150,316L,"1-1/2""",1.5,7.4,3.17,4.44,68,75
PBAL6061-CX150T1-1/2S3/4,"3/4""",150,AL-6061,"1-1/2""",1.5,5,1.06,1.48,42,47
PB304-CX150T1-5/8S3/4,"3/4""",150,304,"1-5/8""",1.625,5.5,3.39,4.75,61,68
PBSA36-CX150T1-5/8S3/4,"3/4""",150,SA-36,"1-5/8""",1.625,1.85,3.25,4.55,43,48
PBSA516-70-CX150T1-5/8S3/4,"3/4""",150,SA-516-70,"1-5/8""",1.625,2.15,3.25,4.55,45,50
